년도,여자,남자
2000,1814922,1962744
2001,1799416,1941595
2002,1795556,1940095
2003,1825722,1973825
2004,1834632,1983271
2005,1845978,1995462
2006,1899166,2053065
2007,1920231,2072975
2008,1888177,2037309
2009,1834048,1980491
2010,1774186,1915331
2011,1755278,1895156
2012,1756347,1892094
2013,1749061,1885683
2014,1779496,1913434
2015,1776538,1907211
2016,1756647,1880674
