,metascore,userscore,year,mean_userscore,action,fighting,first-person,flight,party,puzzle,racing,real-time,role-playing,simulation,sports,strategy,third-person,turn-based,wargame,wrestling,name
1526,38.0,4.3,2018,3.730769230769231,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Heavy Fire: Red Shadow
1527,76.5,7.45,2017,6.977038510680232,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Heavy Rain
1528,78.0,8.3,2016,7.042202473015331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Heavy Rain & Beyond: Two Souls Collection
1529,82.75,7.4750000000000005,2017,7.367636487312096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hellblade: Senua's Sacrifice
1530,82.0,7.5,2015,7.318336105937321,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Helldivers
1531,74.0,6.415625,2019,6.782739952153117,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hellmut: The Badass from Hell
1532,39.666666666666664,4.466666666666667,2017,3.9968660968660963,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Hello Neighbor
1533,66.0,6.8,2016,6.423721167641541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Her Majesty's SPIFFING
1534,86.0,6.1,2015,7.557812500000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Her Story
1535,77.0,7.061160714285714,2017,7.026298391494004,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Herald: An Interactive Period Drama
1536,62.0,6.8,2016,6.196847260483622,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Here They Lie
1537,62.0,6.2141414141414115,2018,6.196847260483622,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,Hero Defense
1538,65.0,4.3,2015,6.375791893818464,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Heroes of Might & Magic III - HD Edition
1539,65.0,3.6,2015,6.375791893818464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Heroes of Normandie
1540,86.0,6.4,2015,7.557812500000002,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,Heroes of the Storm
1541,68.0,7.2,2018,6.45159416985534,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Heroki
1542,87.0,6.3,2016,7.730612244897956,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,Hex: Shards of Fate
1543,47.0,5.7,2013,4.520486111111111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hexodius
1544,71.0,6.9,2018,6.621082125603873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hexologic
1545,69.0,6.6,2017,6.605925653294072,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hey! Pikmin
1546,66.0,6.6,2017,6.423721167641541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hidden Agenda
1547,52.0,5.3,2017,5.230020283975659,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hidden Dragon Legend
1548,79.0,7.0,2017,7.1832070707070725,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,High Hell
1549,83.5,7.6,2016,7.317966799414763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hitman
1550,82.33333333333333,6.5,2016,7.268250077808902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hitman - Episode 2: Sapienza
1551,77.0,6.45,2016,7.047540809526103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hitman - Episode 3: Marrakesh
1552,71.0,7.0,2016,6.621082125603873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hitman - Episode 4: Bangkok
1553,70.0,6.9,2016,6.714134938538741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hitman - Episode 5: Colorado
1554,81.0,6.7,2016,7.311510194404932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hitman - Episode 6: Hokkaido
1555,75.66666666666667,4.466666666666668,2016,6.950015829394755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hitman - Intro Pack
1556,82.66666666666667,7.7,2018,7.309105199518342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hitman 2
1557,74.5,5.449999999999999,2016,6.8741164591654424,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,Hitman GO: Definitive Edition
1558,69.0,2.2,2019,6.605925653294072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hitman HD Enhanced Collection
1559,70.0,7.300000000000001,2013,6.613503889448973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hitman HD Trilogy
1560,77.5,7.449999999999999,2017,7.08204879905041,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hob
1561,76.0,7.7,2019,6.980890527393748,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hob: The Definitive Edition
