,openscore,name,year_x,metascore,userscore,year_y,action,fighting,first-person,flight,party,puzzle,racing,real-time,role-playing,simulation,sports,strategy,third-person,turn-based,wargame,wrestling
49,74,Anomaly 2,2013,75.5,7.300000000000001,2013,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
50,74,Knytt Underground,2013,76.0,7.6,2013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,74,Broken Sword 5: The Serpent's Curse,2013,74.5,7.2,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,74,The Bridge,2013,75.0,7.5,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,73,Disney DuckTales Remastered,2013,73.66666666666667,7.533333333333334,2013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,73,Just Dance 2014,2013,75.5,7.699999999999999,2013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,73,Warframe,2013,73.0,8.0,2014,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
56,73,Another World: 20th Anniversary Edition,2013,73.0,7.2,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,73,Killzone: Shadow Fall,2013,73.0,6.8,2013,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
58,72,Call of Duty: Ghosts,2013,73.6,3.12,2013,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
59,71,Ultratron,2013,73.0,6.5,2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,71,NES Remix,2013,71.0,7.2,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,71,Neverwinter,2013,71.33333333333333,5.733333333333334,2014,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
62,71,Super Motherload,2013,65.0,6.6,2013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,70,BioShock Infinite: Burial at Sea - Episode One,2013,71.33333333333333,7.900000000000001,2013,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
64,70,World of Warplanes,2013,69.0,5.3,2013,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
65,69,Max: The Curse of Brotherhood,2013,70.66666666666667,6.2,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,69,Redshirt,2013,62.0,5.5,2013,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
67,69,Ironclad Tactics,2013,69.0,7.2,2013,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
68,69,Powerstar Golf,2013,65.0,5.5,2013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
69,69,Zoo Tycoon,2013,68.0,3.1,2013,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
70,68,Escape Plan,2013,73.0,6.7,2013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,68,The Novelist,2013,66.0,6.0,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,67,Doki-Doki Universe,2013,66.33333333333333,6.2,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,66,Anodyne,2013,75.0,6.6,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,66,Tiny Brains,2013,64.0,6.7,2013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,66,Deadpool,2013,61.5,7.074999999999999,2013,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
76,65,Foul Play,2013,68.0,5.366666666666667,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,63,SimCity: Cities of Tomorrow Expansion Pack,2013,61.0,3.8,2013,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
78,63,Ryse: Son of Rome,2013,60.5,6.45,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,60,Contrast,2013,60.5,7.0,2013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,60,Bridge Constructor,2013,62.0,6.6,2015,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
81,58,Knack,2013,54.0,6.5,2013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,58,Journey of a Roach,2013,65.0,6.9,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,58,Mario Party: Island Tour,2013,57.0,6.0,2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
84,56,Slender: The Arrival,2013,62.5,6.5,2014,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
85,56,Mario & Sonic at the Sochi 2014 Olympic Winter Games,2013,55.0,6.1,2013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
86,56,Crimson Dragon,2013,55.0,6.5,2013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,56,Wooden Sen'SeY,2013,62.0,7.3,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,55,Halo: Spartan Assault,2013,61.5,5.35,2013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,53,Speedball 2 HD,2013,53.0,3.8,2013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
90,52,Gomo,2013,50.0,4.9,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,50,LocoCycle,2013,48.0,4.0,2013,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
92,49,Violett,2013,61.0,7.3,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,48,Deadfall Adventures,2013,48.0,7.300000000000001,2013,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
94,44,NBA Live 14,2013,39.5,2.85,2013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
95,41,Gravity Badgers,2013,48.0,5.209523809523809,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,39,Adventure Time: Explore the Dungeon Because I DON'T KNOW!,2013,42.333333333333336,4.3,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,31,X Rebirth,2013,33.0,3.2,2013,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
98,25,Fighter Within,2013,23.0,2.8,2013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
99,96,Grand Theft Auto V,2014,96.8,8.080000000000002,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,95,The Last of Us Remastered,2014,95.0,9.1,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,92,Minecraft: PlayStation 4 Edition,2014,89.0,6.5,2014,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
102,92,Super Smash Bros. for Wii U,2014,92.0,8.9,2014,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,91,Bayonetta 2,2014,91.5,8.7,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,90,Diablo III: Ultimate Evil Edition,2014,88.0,7.85,2014,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
105,89,Guacamelee! Super Turbo Championship Edition,2014,87.75,7.574999999999999,2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,88,The Binding of Isaac: Rebirth,2014,87.0,8.05,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,88,Shovel Knight,2014,87.8,8.000000000000002,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,88,Dark Souls II,2014,91.0,7.733333333333334,2014,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
109,88,Mario Kart 8,2014,88.0,8.9,2014,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
110,88,Out of the Park Baseball 15,2014,89.0,7.2,2014,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
111,88,Hearthstone: Heroes of Warcraft,2014,88.0,6.0,2014,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
112,88,Dragon Age: Inquisition,2014,86.33333333333333,6.733333333333334,2014,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
113,87,Mario Kart 8 DLC Pack 1,2014,87.0,8.9,2014,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
114,87,Diablo III: Reaper of Souls,2014,87.0,6.6,2014,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
115,87,Forza Horizon 2,2014,86.0,8.3,2014,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
116,87,Minecraft: Xbox One Edition,2014,88.0,6.7,2014,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
117,87,The Talos Principle,2014,86.5,8.3,2014,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
118,87,BattleBlock Theater,2014,85.0,7.85,2013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,86,Bayonetta,2014,86.66666666666667,8.4,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,86,ZEN Pinball 2: The Walking Dead,2014,83.0,6.0,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,86,World of Warcraft: Warlords of Draenor,2014,87.0,5.9,2014,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
122,86,The Wolf Among Us: Episode 5 - Cry Wolf,2014,81.33333333333333,8.433333333333334,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,85,Transistor,2014,84.0,8.466666666666667,2015,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
124,85,Valkyria Chronicles,2014,84.5,8.399999999999999,2016,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
125,85,Velocity 2X,2014,87.66666666666667,7.300000000000001,2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,85,South Park: The Stick of Truth,2014,84.0,8.533333333333333,2014,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
127,85,Titanfall,2014,85.0,6.333333333333333,2014,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
128,85,This War of Mine,2014,83.0,8.3,2014,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
129,85,Divinity: Original Sin,2014,87.0,8.7,2014,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
130,85,Middle-earth: Shadow of Mordor,2014,85.0,7.966666666666666,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,85,Tomb Raider: Definitive Edition,2014,85.5,7.9,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,85,Persona Q: Shadow of the Labyrinth,2014,83.0,5.7,2014,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
133,85,Donkey Kong Country: Tropical Freeze,2014,84.5,8.8,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,84,Bravely Default,2014,85.0,8.5,2014,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
135,84,Halo: The Master Chief Collection,2014,85.0,7.5,2014,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
136,84,Resogun: Heroes,2014,86.0,7.3,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,84,Metal Gear Rising: Revengeance,2014,81.66666666666667,7.966666666666666,2013,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
138,84,The Wolf Among Us: Episode 3 - A Crooked Mile,2014,79.5,8.45,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,84,TowerFall Ascension,2014,84.66666666666667,7.0,2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,84,Star Wars Pinball: Heroes Within,2014,80.0,5.2,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,84,Marvel Heroes 2015,2014,81.0,8.2,2014,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
142,84,The Walking Dead: Season Two Episode 2 - A House Divided,2014,81.0,8.466666666666667,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,84,Theatrhythm Final Fantasy: Curtain Call,2014,83.0,8.9,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,84,Legend of Grimrock II,2014,85.0,8.1,2014,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
145,84,Metro Redux,2014,83.66666666666667,7.833333333333333,2014,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
146,84,Geometry Wars 3: Dimensions,2014,82.0,7.133333333333333,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,84,The Blackwell Epiphany,2014,83.0,7.6,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,84,Endless Legend,2014,82.0,8.0,2014,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
149,83,Dark Souls II: Crown of the Ivory King,2014,84.0,8.299999999999999,2014,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
150,83,Guilty Gear Xrd -SIGN-,2014,84.0,7.9,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,83,Year Walk,2014,84.5,7.35,2014,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
152,83,Disgaea 4: A Promise Revisited,2014,82.0,8.0,2014,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
153,83,Child of Light,2014,82.0,8.083333333333334,2014,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
154,83,Far Cry 4,2014,82.33333333333333,7.366666666666667,2014,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
