,openscore,name,year_x,metascore,userscore,year_y
0,92,Resident Evil 2,2019,91.0,8.733333333333334,2019.0
1,92,Final Fantasy XIV: Shadowbringers,2019,91.0,8.600000000000001,2019.0
2,92,Disco Elysium,2019,90.0,8.4,2019.0
3,90,Sekiro: Shadows Die Twice,2019,89.66666666666667,7.966666666666666,2019.0
4,89,Asgard's Wrath,2019,89.0,8.6,2019.0
5,89,Fire Emblem: Three Houses,2019,89.0,8.7,2019.0
6,88,Devil May Cry 5,2019,88.0,8.133333333333333,2019.0
7,88,Super Mario Maker 2,2019,88.0,8.5,2019.0
8,87,Astral Chain,2019,87.0,8.9,2019.0
9,87,The Legend of Zelda: Link's Awakening,2019,87.0,8.6,2019.0
10,87,Manifold Garden,2019,85.0,8.0,2019.0
11,86,Apex Legends,2019,88.33333333333333,6.400000000000001,2019.0
12,86,Ni no Kuni: Wrath of the White Witch Remastered,2019,86.0,7.8,2019.0
13,86,Outer Wilds,2019,83.66666666666667,6.866666666666667,2019.0
14,86,Luigi's Mansion 3,2019,85.0,8.6,2019.0
15,86,F1 2019,2019,86.66666666666667,7.133333333333333,2019.0
16,85,Sunless Skies,2019,86.0,7.0,2019.0
17,85,Assault Android Cactus+,2019,86.0,8.7,2019.0
18,85,One Finger Death Punch 2,2019,82.0,7.9,2019.0
19,85,The Walking Dead: The Telltale Definitive Series,2019,83.5,6.3,2019.0
20,85,The Legend of Heroes: Trails of Cold Steel III,2019,83.0,8.7,2019.0
21,85,The Outer Worlds,2019,84.33333333333333,8.1,2019.0
22,85,Death Stranding,2019,83.0,7.0,2019.0
23,85,Dragon Quest Builders 2,2019,85.5,7.9,2019.0
24,85,Kingdom Hearts III,2019,81.5,8.2,2019.0
25,85,Sayonara Wild Hearts,2019,83.5,6.800000000000001,2019.0
26,84,Gears 5,2019,82.5,7.65,2019.0
27,84,Nowhere Prophet,2019,73.0,6.4,2019.0
28,84,Fell Seal: Arbiter's Mark,2019,86.0,6.5,2019.0
29,84,Baba Is You,2019,85.5,8.1,2019.0
30,84,Control,2019,83.66666666666667,7.166666666666667,2019.0
31,83,Crash Team Racing: Nitro-Fueled,2019,82.33333333333333,5.933333333333334,2019.0
32,83,Collection of Mana,2019,83.0,8.4,2019.0
33,83,Tales of Vesperia: Definitive Edition,2019,81.33333333333333,7.533333333333334,2019.0
34,83,Bloodstained: Ritual of the Night,2019,81.0,7.5249999999999995,2019.0
35,83,Wargroove,2019,82.75,6.175,2019.0
36,83,Tom Clancy's The Division 2,2019,82.66666666666667,6.766666666666666,2019.0
37,83,WHAT THE GOLF?,2019,84.0,6.758823529411764,2019.0
38,83,Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey,2019,84.0,7.6,2019.0
39,83,Devotion,2019,85.0,7.2,2019.0
40,83,Horace,2019,81.0,8.4,2019.0
41,83,Metro Exodus,2019,81.33333333333333,6.766666666666667,2019.0
42,83,Tetris 99,2019,83.0,8.3,2019.0
43,83,Mortal Kombat 11,2019,82.25,3.025,2019.0
44,83,Atelier Ryza: Ever Darkness & the Secret Hideout,2019,80.5,8.15,2019.0
45,82,Hypnospace Outlaw,2019,82.0,6.6,2019.0
46,82,Children of Morta,2019,80.0,8.05,2019.0
47,82,Etrian Odyssey Nexus,2019,81.0,7.0,2019.0
48,82,Sid Meier's Civilization VI: Gathering Storm,2019,81.0,6.6,2019.0
49,82,Eastshade,2019,78.0,8.2,2019.0
50,82,Ring Fit Adventure,2019,82.0,8.7,2019.0
51,82,Valfaris,2019,82.5,8.1,2019.0
52,82,Yooka-Laylee and the Impossible Lair,2019,80.5,6.975,2019.0
53,82,Yuppie Psycho,2019,81.0,8.4,2019.0
54,82,AI: The Somnium Files,2019,83.5,7.6,2019.0
55,82,Stygian: Reign of the Old Ones,2019,82.0,7.9,2019.0
56,82,Ghost Giant,2019,80.0,7.1,2019.0
57,82,Judgment,2019,80.0,8.3,2019.0
58,82,SteamWorld Quest: Hand of Gilgamech,2019,80.0,7.7,2019.0
59,81,Killer Queen Black,2019,83.0,8.5,2019.0
60,81,A Plague Tale: Innocence,2019,81.66666666666667,8.6,2019.0
61,81,Songbird Symphony,2019,81.0,7.7,2019.0
62,81,Anno 1800,2019,81.0,8.0,2019.0
63,81,eFootball PES 2020,2019,82.0,8.35,2019.0
64,81,Planet Zoo,2019,81.0,8.3,2019.0
