,name,year_x,metascore,userscore,openscore,action,fighting,first-person,flight,party,puzzle,racing,real-time,role-playing,simulation,sports,strategy,third-person,turn-based,wargame,wrestling
2409,Eastshade,2019,78.0,8.2,82,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2410,Ring Fit Adventure,2019,82.0,8.7,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2411,Valfaris,2019,82.5,8.1,82,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2412,Yooka-Laylee and the Impossible Lair,2019,80.5,6.975,82,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2413,Yuppie Psycho,2019,81.0,8.4,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2414,AI: The Somnium Files,2019,83.5,7.6,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2415,Stygian: Reign of the Old Ones,2019,82.0,7.9,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2416,Ghost Giant,2019,80.0,7.1,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2417,Judgment,2019,80.0,8.3,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2418,SteamWorld Quest: Hand of Gilgamech,2019,80.0,7.7,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2419,Killer Queen Black,2019,83.0,8.5,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2420,A Plague Tale: Innocence,2019,81.66666666666667,8.6,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2421,Songbird Symphony,2019,81.0,7.7,81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2422,Anno 1800,2019,81.0,8.0,81,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2423,eFootball PES 2020,2019,82.0,8.35,81,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2424,Planet Zoo,2019,81.0,8.3,81,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2425,Blazing Beaks,2019,79.0,6.6,81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2426,Age of Wonders: Planetfall,2019,81.0,7.3,81,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2427,Final Fantasy VIII Remastered,2019,80.0,7.0,81,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2428,Persona Q2: New Cinema Labyrinth,2019,81.0,8.2,81,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2429,Void Bastards,2019,78.0,8.100000000000001,81,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2430,Call of Duty: Modern Warfare,2019,81.33333333333333,3.1,81,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2431,Ace Combat 7: Skies Unknown,2019,79.33333333333333,7.733333333333333,81,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2432,Ion Fury,2019,79.0,5.9,81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2433,World of Warcraft Classic,2019,81.0,6.3,81,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2434,Blood & Truth,2019,80.0,8.0,81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2435,World End Syndrome,2019,78.0,7.6,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2436,Yu-Gi-Oh! Legacy of the Duelist: Link Evolution,2019,79.0,8.4,81,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2437,Catherine: Full Body,2019,81.0,7.6,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2438,Vacation Simulator,2019,77.0,7.4,80,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2439,Untitled Goose Game,2019,80.0,6.7,80,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2440,Atelier Lulua: The Scion of Arland,2019,78.0,7.300000000000002,80,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2441,Dicey Dungeons,2019,80.0,7.5,80,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2442,My Friend Pedro,2019,79.5,8.0,80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2443,Yoshi's Crafted World,2019,79.0,8.0,80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2444,Druidstone: The Secret of the Menhir Forest,2019,79.0,7.4,80,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2445,Vectronom,2019,82.0,8.3,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2446,Samurai Shodown,2019,79.5,7.85,80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2447,BoxBoy! + BoxGirl!,2019,80.0,8.2,80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2448,Borderlands 3,2019,80.33333333333333,5.333333333333333,80,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2449,Trine 4: The Nightmare Prince,2019,80.5,7.975,80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2450,Five Nights at Freddy's VR: Help Wanted,2019,80.0,7.9,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2451,Stellaris: Console Edition,2019,79.0,7.3,80,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2452,God's Trigger,2019,75.0,8.266666666666667,80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2453,Trials Rising,2019,81.25,6.074999999999998,80,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2454,OlliOlli: Switch Stance,2019,83.0,8.2,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2455,Octahedron: Transfixed Edition,2019,79.0,8.0,80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2456,Operencia: The Stolen Sun,2019,82.0,7.2,80,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2457,New Super Mario Bros. U Deluxe,2019,80.0,7.1,80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2458,Blazing Chrome,2019,79.0,7.65,80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2459,Green Hell,2019,77.0,7.5,80,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2460,Indivisible,2019,80.33333333333333,6.133333333333333,79,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2461,Knights and Bikes,2019,79.0,7.9,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2462,Irony Curtain: From Matryoshka with Love,2019,76.0,7.283333333333332,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2463,Tropico 6,2019,77.0,6.85,79,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2464,Heave Ho,2019,80.0,7.7,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
